id,pcode,trad,district,region,pop1998,pop2008,popc
289,AFRMWI31531,Michiru Ward,Blantyre City,Southern,28303,46639,"(28,303 - 46,639)"
290,AFRMWI31532,South Lunzu Ward,Blantyre City,Southern,24366,37864,"(24,366 - 37,864)"
291,AFRMWI31533,Mapanga Ward,Blantyre City,Southern,17265,23854,"(17,265 - 23,854)"
292,AFRMWI31534,Nkolokoti Ward,Blantyre City,Southern,23703,35218,"(23,703 - 35,218)"
293,AFRMWI31535,Ndirande Norh Ward,Blantyre City,Southern,20009,29033,"(20,009 - 29,033)"
294,AFRMWI31536,Ndirande South Ward,Blantyre City,Southern,61638,64602,"(61,638 - 64,602)"
295,AFRMWI31537,Ndirande West Ward,Blantyre City,Southern,13795,15529,"(13,795 - 15,529)"
308,AFRMWI31538,Nyambadwe Ward,Blantyre City,Southern,7272,8304,"(7,272 - 8,304)"
309,AFRMWI31539,Likhubula Ward,Blantyre City,Southern,48966,51853,"(48,966 - 51,853)"
342,AFRMWI31540,Chilomoni Ward,Blantyre City,Southern,23223,37690,"(23,223 - 37,690)"
343,AFRMWI31541,Blantyre West Ward,Blantyre City,Southern,18458,22901,"(18,458 - 22,901)"
344,AFRMWI31544,Chichiri Ward,Blantyre City,Southern,5708,5452,"(5,708 - 5,452)"
345,AFRMWI31542,Blantyre Central Ward,Blantyre City,Southern,3668,4808,"(3,668 - 4,808)"
346,AFRMWI31543,Blantyre East Ward,Blantyre City,Southern,3578,5786,"(3,578 - 5,786)"
347,AFRMWI31545,Mzedi Ward,Blantyre City,Southern,9177,13333,"(9,177 - 13,333)"
348,AFRMWI31546,Bangwe Ward,Blantyre City,Southern,35723,34773,"(35,723 - 34,773)"
349,AFRMWI31547,Namiyango Ward,Blantyre City,Southern,13367,18761,"(13,367 - 18,761)"
350,AFRMWI31548,Limbe East Ward,Blantyre City,Southern,32780,38512,"(32,780 - 38,512)"
351,AFRMWI31549,Limbe Central Ward,Blantyre City,Southern,2558,2960,"(2,558 - 2,960)"
352,AFRMWI31550,Limbe west Ward,Blantyre City,Southern,10865,13877,"(10,865 - 13,877)"
353,AFRMWI31551,Soche East Ward,Blantyre City,Southern,14793,14887,"(14,793 - 14,887)"
354,AFRMWI31552,Soche West Ward,Blantyre City,Southern,33453,50617,"(33,453 - 50,617)"
355,AFRMWI31553,Nancholi Ward,Blantyre City,Southern,10876,25109,"(10,876 - 25,109)"
356,AFRMWI31554,Misesa,Blantyre City,Southern,18893,31212,"(18,893 - 31,212)"
357,AFRMWI31555,Chigumula Ward,Blantyre City,Southern,17002,23352,"(17,002 - 23,352)"
358,AFRMWI31556,Msamba Ward,Blantyre City,Southern,2614,4330,"(2,614 - 4,330)"
359,AFRMWI30501,Senior TA Kapeni,Blantyre Rural,Southern,73055,72236,"(73,055 - 72,236)"
360,AFRMWI30502,TA Lundu,Blantyre Rural,Southern,20184,46372,"(20,184 - 46,372)"
361,AFRMWI30503,TA Chigaru,Blantyre Rural,Southern,33243,39836,"(33,243 - 39,836)"
362,AFRMWI30504,TA Kunthembwe,Blantyre Rural,Southern,26703,33770,"(26,703 - 33,770)"
363,AFRMWI30505,TA Makata,Blantyre Rural,Southern,13656,15991,"(13,656 - 15,991)"
364,AFRMWI30506,TA Kuntaja,Blantyre Rural,Southern,64025,71434,"(64,025 - 71,434)"
365,AFRMWI30507,TA Machinjili,Blantyre Rural,Southern,21430,22297,"(21,430 - 22,297)"
366,AFRMWI30508,TA Somba,Blantyre Rural,Southern,55048,59488,"(55,048 - 59,488)"
