date,chil_r,chic_r,chil_mint,chil_maxt,chic_mint,chic_maxt,chil_h,chic_h
01/01/2000,1.2,7.3,22.2,33.8,20,31.2,78,49
02/01/2000,0,0,23.7,31.2,21.7,28,80,50
03/01/2000,0,0,21.9,33.4,19,29.5,84,51
04/01/2000,0,0,22.5,31.7,19.1,29.5,83,47
05/01/2000,0,5.5,23,31,19,27.1,82,47
06/01/2000,0,0,23.1,31.6,19.6,29.5,83,45
07/01/2000,0,0,22.1,34.9,21,31.6,81,43
08/01/2000,31.8,7.2,23.5,34.6,20.1,30,82,43
09/01/2000,0,23,20.2,23.7,19,22.5,93,46
10/01/2000,66.2,32.9,21.1,27.4,17.9,25,91,45
11/01/2000,8.6,10.9,19.6,24.8,18.2,19.8,81,48
12/01/2000,31.8,42.5,20,26.3,18.2,23.4,90,47
13/01/2000,0,0,19.6,26.8,17.4,25.2,90,47
14/01/2000,0,3,20.2,27.5,17.5,25,83,44
15/01/2000,1.8,3.3,20.4,27.8,16.8,25.5,79,46
16/01/2000,0,0,21,29.6,18.5,27.7,82,48
17/01/2000,19.4,23,21.6,30.5,18.9,28.2,83,44
18/01/2000,1.1,27.3,20.8,26,19.5,24.6,92,45
19/01/2000,44.7,38,19,24,16.5,22.7,91,43
20/01/2000,0,0,18.5,24.4,16,23.1,95,37
21/01/2000,0,0,18.6,26,16.4,23,89,43
22/01/2000,0,0,19.4,27.5,16,25.9,85,47
23/01/2000,0.2,0,20.3,28.5,17.6,25.7,84,49
24/01/2000,0.1,0,21.2,25.7,17.2,25.1,83,56
25/01/2000,0,22,21.6,29.6,18.7,27.5,78,43
26/01/2000,0,36,21.9,30.5,18.1,28.2,75,39
27/01/2000,50.4,0.2,22,28.4,19,26.6,69,37
28/01/2000,1.1,8.4,20.5,30.9,17.5,29,70,30
29/01/2000,0,5.7,20,30.5,18.7,28.2,82,21
30/01/2000,9.4,0,21.7,26.5,19.5,25,82,27
31/01/2000,0,16,20.3,28,18,26,94,38
01/02/2000,0,2.3,20.4,29.5,18.5,26.2,92,38
02/02/2000,20.8,86,20.8,27.4,19,26.5,89,38
03/02/2000,3.8,0.5,20,29.4,17.6,27.5,87,49
04/02/2000,7.3,0,21.7,29,19.3,27.6,87,41
05/02/2000,4.9,0.8,20.3,29.1,20,28.8,79,36
06/02/2000,0,0.8,19.3,29,18.8,27.7,81,33
07/02/2000,0,0,20.9,30.8,18.2,28.2,71,38
08/02/2000,0,0,20.8,30.4,17.5,28.7,75,39
09/02/2000,66.8,3,21.8,29.7,19.5,27.2,75,35
10/02/2000,0,0,21,27.5,18.5,26.4,81,28
11/02/2000,5.6,10.4,19.6,31,17,28,80,37
12/02/2000,19.4,7.9,20.2,30.8,17.6,29.6,79,46
13/02/2000,0,0,19.6,29.8,16.7,32.5,79,41
14/02/2000,8,0,20,26.3,18.2,24.5,80,38
15/02/2000,1.8,6.2,21.4,26.7,18.5,25.8,77,33
16/02/2000,8.6,1.4,19.3,23.9,18,22,82,35
17/02/2000,0,27,20.2,25.5,18,24.5,91,41
18/02/2000,0,0,19.5,27.8,17.5,25,88,36
19/02/2000,0,0.1,19.4,27.4,17.3,25.5,83,31
20/02/2000,0,0,19.8,29.2,17.1,26,80,30
21/02/2000,5.4,0,21.3,30.1,18.5,26.8,80,27
22/02/2000,0,0,21.8,31.7,19.5,28.5,78,22
23/02/2000,37.1,0,22.4,29.6,19.9,26.2,76,28
24/02/2000,12.7,67.7,21.9,31.6,19.5,29.7,78,32
25/02/2000,0,6.2,17.6,26.9,17,25,87,38
26/02/2000,6.7,0,18.9,28.3,16.8,26.2,80,37
27/02/2000,1.4,63.5,20.6,29.4,17.8,28,87,38
28/02/2000,2.9,0,19.1,27.4,16.9,25.8,84,34
29/02/2000,0,0,20.5,28.2,18.4,27.8,82,38
01/03/2000,0,0,20.9,28.7,18.2,27.5,82,62
02/03/2000,0,0,19.4,29.3,17,25.6,78,58
03/03/2000,0,0,19.6,28.4,16.2,26.1,79,48
04/03/2000,7.3,0,19.6,28.8,17.9,27.5,77,52
05/03/2000,10.6,2.5,20.8,25,19,25.5,79,50
06/03/2000,0,1,19,28.1,17.5,25.9,76,48
07/03/2000,0.8,0.8,20.1,27,17.2,26.5,73,43
08/03/2000,0,0,20.3,28,18.2,25,77,35
09/03/2000,0,1.7,20.6,28.2,18,26.7,85,39
10/03/2000,0,0,19.9,28.4,17.2,25.9,87,36
11/03/2000,5.7,1.2,20.5,27.5,18,25.4,82,35
12/03/2000,3.4,15.3,20.3,28.1,18,25.5,89,43
13/03/2000,4.8,3.2,20.6,28,18.2,25.7,90,43
14/03/2000,0,0,20.1,29.5,18.6,28,88,40
15/03/2000,0,0,20,29.3,19.5,27.8,77,34
16/03/2000,0,0,20.7,30.4,18,29.5,77,35
17/03/2000,0,0,20.8,30.7,18,28.6,77,41
18/03/2000,0,6.9,20,28.8,18.6,27.6,77,42
19/03/2000,0,0,20.6,28.5,18.3,26.8,80,45
20/03/2000,0,15.3,20.7,29.3,18,29,79,41
21/03/2000,0,0.7,20.1,28.5,17.2,26.4,83,42
22/03/2000,0,0,19.9,29.5,18.5,26.9,83,41
23/03/2000,5.3,6.9,21,28,19.1,26.5,84,39
24/03/2000,14.7,29.4,20.5,26.6,18.5,24.2,81,39
25/03/2000,14.7,32,19.5,27.7,16.2,27,87,35
26/03/2000,3.4,0,19.2,28.5,16.9,24.6,83,37
27/03/2000,0,0,19.8,29.5,18.9,27.7,79,38
28/03/2000,11.1,2.1,20.5,28.8,18,28.7,79,40
29/03/2000,0,0,20.1,28.7,18.2,28.1,80,44
30/03/2000,2.8,0,20.2,28.8,18,27.9,81,45
31/03/2000,0,8.7,20,29.8,17.7,27.4,78,47
01/04/2000,0,0,20,28.5,17.3,26.5,82,50
02/04/2000,0,0,19.5,28,18.1,26,80,50
03/04/2000,0,0,20.7,28,18.5,27,86,45
04/04/2000,0,0,18.8,28.4,17.1,24.7,80,43
05/04/2000,0,0,19.6,28.5,17.4,26,75,43
06/04/2000,0,0,18.6,27.1,17.2,25,89,39
07/04/2000,0,0,18.4,25.2,17,22.5,93,41
08/04/2000,0,0.3,17.1,22.1,15.3,18.6,91,38
09/04/2000,0,12.2,18.1,24,15.3,19.9,91,43
10/04/2000,2.6,2.8,18.9,28,17,25.1,90,50
11/04/2000,2.4,0,18,26,15.6,24.5,85,49
12/04/2000,2.7,7.1,17.2,26.9,16.2,25,84,50
