OBJECTID,P_CODE,TRAD_AUTH,DISTRICT,REGION,POP2008,NOTE_,SOURCE
1,AFRMWI31201,TA Msamala,Balaka,Southern,172286.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
2,AFRMWI31204,TA Kalembo,Balaka,Southern,122305.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
3,AFRMWI31220,Balaka Boma,Balaka,Southern,22733.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
4,AFRMWI30301,TA Kuntumanji,Zomba,Southern,71926.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
5,AFRMWI30302,TA Mwambo,Zomba,Southern,117220.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
6,AFRMWI30304,TA Chikowi,Zomba,Southern,56726.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
7,AFRMWI30305,STA Mbiza,Zomba,Southern,137593.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
8,AFRMWI30306,TA Mlumbe,Zomba,Southern,132340.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
9,AFRMWI30307,TA Malemia,Zomba,Southern,59031.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
10,AFRMWI30399,Lake Chilwa,Zomba,Southern,0.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
11,AFRMWI30303,TA Mkumbira,Zomba,Southern,4803.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
12,AFRMWI31431,Mbedza Ward,Zomba City,Southern,4207.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
13,AFRMWI31432,Mtiya Ward,Zomba City,Southern,9688.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
14,AFRMWI31433,Masondola Ward,Zomba City,Southern,872.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
15,AFRMWI31434,Chikamveka Ward,Zomba City,Southern,2978.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
16,AFRMWI31435,Chikamveka NorthWard,Zomba City,Southern,13710.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
17,AFRMWI31436,Chilunga East Ward,Zomba City,Southern,6960.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
18,AFRMWI31437,Chilunga  Ward,Zomba City,Southern,3636.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
19,AFRMWI30701,TA Nsabwe,Thyolo,Southern,34746.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
20,AFRMWI30721,Luchenza Township,Thyolo,Southern,10896.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
21,AFRMWI20501,TA Maganga,Salima,Central,47498.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
22,AFRMWI20502,TA Karonga,Salima,Central,55553.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
23,AFRMWI20503,TA Pemba,Salima,Central,19562.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
24,AFRMWI20504,STA Kambwiri,Salima,Central,27114.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
25,AFRMWI20505,TA Ndindi,Salima,Central,40250.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
26,AFRMWI30805,TA Nkanda,Mulanje,Southern,93892.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
27,AFRMWI30806,TA Juma,Mulanje,Southern,78149.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
28,AFRMWI30807,Mulanje Mountain Reserve,Mulanje,Southern,0.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
29,AFRMWI21054,Area 24,Lilongwe City,Central,22708.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
30,AFRMWI31438,Likangal North Ward,Zomba City,Southern,12855.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
31,AFRMWI31439,Zakazaka Ward,Zomba City,Southern,6423.00000000000,"TA Names are not always unique. eg there is more than one TA Lundu but in different districts, which  has been verified to be correct",Malawi geonode boundaries joined to Census 2008 pop by OCHA ROSA
